platform,title,link,snippet,source
Sina,17 Max上半年发布：取消背屏！加大电池,https://finance.sina.com.cn/tech/discovery/2026-02-10/doc-inhmhrqv5761128.shtml,快科技2月10日消息，据博主“智慧皮卡丘”透露，小米17 Max机型将在上半年发布，预计5月左右登场。该机与此前的小米17 Pro Max有很大不同，取消了比较出圈的背屏设计，用节省下来的空间堆更大的电池容量，预计至少拥有8000mAh电池...,快科技   1小时前
Sina,YU7 GT来了 跑纽北的SUV能卖好吗？,https://finance.sina.com.cn/tech/discovery/2026-02-10/doc-inhmheyx8858311.shtml,我怎么觉得，小米最近动作有点多。现在继 SU7 Ultra 之后，小米又搞了个大动作，出了一台全新的高性能车型—— YU7 GT，就在最新的工信部名单里曝光出来了...,快科技   6小时前
Sina,车主权益保卫战揭开，汽车“饭圈化”何时休？,https://k.sina.com.cn/article_1751603632_686759b000101a5o4.html,最近小米公布的一组数据，让我忍不住想问：这都什么年代了，怎么还有人干这种事儿。短短四个多月时间，18266位小米车主向小米官方求助，说自己的车遭到了网络攻击或线下恶意破坏...,i王石头   7小时前
Sina,沁黄3号蝉联优质,https://k.sina.com.cn/article_7517400647_1c0126e47059086ouu.html,本文转自：山西日报山西省第三届优质小米鉴定评价会议在沁县举办沁黄3号蝉联优质小米冠军本报讯（记者王建科）种子是粮食安全的“芯片”，是粮食高产、健康、安全生产的“灵魂”...,"人民资讯
                        					
                        				2026-02-10 00:00:00"
Sina,面糊制成年夜饭，寓意步步高升甜甜蜜蜜,https://k.sina.com.cn/article_7879923890_m1d5ae18b20330185xq.html,把面糊倒进小米里，出锅就是年夜饭餐桌上寓意最好的一道美食，寓意着家人步步高升，生活甜甜蜜蜜#微博超有用视频大赛##我的家乡最强安利##我的拿手年夜菜##年味vlog不打烊#...,街头美食猎人   2026-02-09 22:00:32
Sina,四川米粉全网喊人 要凑几百台,https://finance.sina.com.cn/tech/discovery/2026-02-09/doc-inhmfuky5171937.shtml,快科技2月9日消息，四川一位资深米粉近日在社交平台发起全网召集，计划为自己的婚礼凑齐数百台小米汽车组成婚车车队。此次召集面向全国的小米车主，已有多位车主主动留言表示愿意助阵...,快科技   2026-02-09 21:35:22
Sina,奇瑞,https://cj.sina.com.cn/articles/view/2098807780/7d1943e4027015z3g,作者 | 魏帅编辑 | 冯羽美编 | 倩倩审核 | 颂文1月20日，上交所官网更新新上市公司名单——芜湖埃泰克汽车电子股份有限公司（以下简称“埃泰克”）IPO申请正式过会...,创业最前线   2026-02-09 21:34:48
Sina,SU7 Ultra成《GT赛车7》首台中国车 索尼：性能怪兽 真实还原驾驶体验,https://finance.sina.com.cn/tech/discovery/2026-02-09/doc-inhmfuma1944526.shtml,快科技2月9日消息，日前，小米SU7 Ultra上线《Gran Turismo 7/跑车浪漫旅7》（《GT赛车7》），这是GT系列自1997年诞生以来，首台正式上线的中国品牌车型...,快科技   2026-02-09 21:29:51
Sina,工信部发布《减免车辆购置税的新能源汽车车型目录》，,https://k.sina.com.cn/article_5952915705_162d248f906702hp22.html,（来源：财闻）              2月9日，工信部发布《减免车辆购置税的新能源汽车车型目录》（第二十七批），小米SU7、比亚迪方程豹钛3等多款车型在列...,热点聚焦   2026-02-09 20:31:54
Sina,YU7 GT要来了！动力超千匹，能像SU7 Ultra一样火爆？,https://k.sina.com.cn/article_5890337415_15f176a8702701c78o.html,随着工信部官网正式发布了小米YU7 GT这款车型的申报图，马上，性能版的小米YU7 GT也终于是快要来了。从曝光的信息来看，小米YU7 GT的外观将配备宽体运动套件，而动力上则是会搭载双电机，并且会拥有超过1000匹的马力，其最大功率可达1003马力，最高时速可达300km/h...,优视汽车   2026-02-09 19:50:04
Baidu,"集团-W(01810.HK)2月9日回购5272.68万港元,年内累计回购30.79...",https://baijiahao.baidu.com/s?id=1856653665934247940&wfr=spider&for=pc,,证券时报
Baidu,HyperOS 2月补丁全线发布 覆盖旗舰与中端机型,https://new.qq.com/rain/a/20260210A017I400,,腾讯网
Baidu,曝,https://baijiahao.baidu.com/s?id=1856691067846389023&wfr=spider&for=pc,,CNMO科技
Baidu,":发生多起小米车主遭线下恶意破坏事件,车辆被恶意损伤,作案...",https://baijiahao.baidu.com/s?id=1856688993574691676&wfr=spider&for=pc,,海报新闻
Baidu,17 Max上半年发布:取消背屏!加大电池,https://baijiahao.baidu.com/s?id=1856689622866749781&wfr=spider&for=pc,,快科技
Baidu,18 Pro影像有望迎来升级!或将搭载双2亿像素镜头,https://baijiahao.baidu.com/s?id=1856630608761122793&wfr=spider&for=pc,,太平洋科技
Baidu,喊话今年坚决打击抹黑,https://baijiahao.baidu.com/s?id=1856626300855224003&wfr=spider&for=pc,,快科技
Baidu,回应开发2200MPa超强钢:安全轻量化双突破,https://new.qq.com/rain/a/20260210A00O6R00,,腾讯网
Baidu,"新一代“降价王”,从4299元降至1967元,打工人也买得起",https://baijiahao.baidu.com/s?id=1856668917988761058&wfr=spider&for=pc,,科技阿维
Baidu,山东移动,https://baijiahao.baidu.com/s?id=1856688897214692402&wfr=spider&for=pc,,新浪财经
Baidu,网暴、划车!,https://baijiahao.baidu.com/s?id=1856665531407028521&wfr=spider&for=pc,,王石头
Baidu,"突然发布新机,数亿米粉猝不及防,幸福来得太突然!",https://baijiahao.baidu.com/s?id=1856258952126700760&wfr=spider&for=pc,,科技説説説
Baidu,YU7 GT来了 跑纽北的SUV能卖好吗?,https://tech.ifeng.com/c/8qcIz96zvnI,,手机凤凰网
Baidu,"喂单,养大了一个“鹿客”",https://baijiahao.baidu.com/s?id=1856693417315285630&wfr=spider&for=pc,,斑马消费
Baidu,"手机售价“大跳水”,从4999元降至2964元,米粉后悔新机买早了",https://baijiahao.baidu.com/s?id=1856034408412227897&wfr=spider&for=pc,,科技阿维
Baidu,"手表 5 开启新版本内测招募,修复手势失灵、闹钟偶发不响等",https://baijiahao.baidu.com/s?id=1856638438518583482&wfr=spider&for=pc,,IT之家
Baidu,"百度站台,鹿客科技冲刺AI智能锁第一股!",https://baijiahao.baidu.com/s?id=1856643411776122380&wfr=spider&for=pc,,证券时报
Baidu,"同是旗舰同样5499元,选",https://baijiahao.baidu.com/s?id=1856647241393764192&wfr=spider&for=pc,,数评时代
Baidu,"17 5G手机优惠购,低至3549元",https://mobile.zol.com.cn/1132/11327903_all.html,,中关村在线
Baidu,"17 5G手机优惠购,低至4099元",https://mobile.zol.com.cn/1132/11327879_all.html,,中关村在线
Sina,车主权益保卫战揭开，,https://k.sina.com.cn/article_1751603632_686759b000101a5o4.html,最近小米公布的一组数据，让我忍不住想问：这都什么年代了，怎么还有人干这种事儿。短短四个多月时间，18266位小米车主向小米官方求助，说自己的车遭到了网络攻击或线下恶意破坏...,i王石头   7小时前
Sina,四川米粉全网喊人 要凑几百台,https://finance.sina.com.cn/tech/discovery/2026-02-09/doc-inhmfuky5171937.shtml,快科技2月9日消息，四川一位资深米粉近日在社交平台发起全网召集，计划为自己的婚礼凑齐数百台小米汽车组成婚车车队。此次召集面向全国的小米车主，已有多位车主主动留言表示愿意助阵...,快科技   2026-02-09 21:35:22
Sina,工信部发布《减免车辆购置税的新能源,https://k.sina.com.cn/article_5952915705_162d248f906702hp22.html,（来源：财闻）              2月9日，工信部发布《减免车辆购置税的新能源汽车车型目录》（第二十七批），小米SU7、比亚迪方程豹钛3等多款车型在列...,热点聚焦   2026-02-09 20:31:54
Sina,比2200MPa,https://finance.sina.com.cn/tech/roll/2026-02-09/doc-inhmfive5382167.shtml,快科技2月9日消息，小米汽车官方透露，新一代SU7、小米YU7“内嵌式防滚架”、车门防撞梁，均采用2200MPa小米超强钢，这是目前行业量产最高强度的热成型钢...,快科技   2026-02-09 18:30:41
Sina,组成多彩婚车车队亮相高铁沿线,https://k.sina.com.cn/article_7879996919_m1d5af35f703301ta1s.html,刚刚去高铁路上碰到一路的小米汽车，而且每辆车的颜色都不一样，仔细一看是婚车车队，太酷啦...,星辰失控者   2026-02-09 12:06:10
Sina,YU7 GT黑武士，加装大尾翼，下赛道，大家觉得效果如何,https://k.sina.com.cn/article_7879996580_m1d5af34a403301ph26.html,#小米汽车[超话]##小米汽车YU7 GT大尾翼# 小米汽车YU7 GT黑武士，加装大尾翼，下赛道，大家觉得效果如何[举手]...,大学生小青年   2026-02-09 12:04:25
Sina,一辆,https://video.sina.com.cn/p/finance/2026-02-09/detail-inhmexfp9315471.d.html,2月6日，山西长治。一辆小米汽车为避让三轮车冲进寿衣店。当地交警已确认这起事故，具体伤亡情况和责任判定还在进一步调查处理中。（来源：综合大河报、看看新闻，剪辑：向希）...,华声在线   2026-02-09 11:44:43
Sina,对开门新专利获授权，可实现无序开门,https://cj.sina.com.cn/articles/view/5182171545/134e1a99902002c8re,天眼查知识产权信息显示，2月6日，小米汽车科技有限公司申请的“对开门车辆和锁扣组件”专利获授权。基于此，本公开可以实现对开门车辆的无序开门，提高用户体验...,界面新闻   2026-02-09 11:40:22
